student_id,marks,attendance,quiz_score,assignment_completion,previous_marks,predicted_risk_level,risk_factors,granite_explanation,recommendation_1,recommendation_2,recommendation_3,monitoring_suggestion,ai_source,parse_success,parse_errors
STU371,91.5,75.3,80.8,99.9,100.0,On Track,Declining academic performance,[DEMO – Not IBM Granite] Student STU371 is currently performing well across academic indicators. Continued consistency and engagement will help maintain this positive academic trajectory.,Continue with the current study routine and aim to challenge learning in areas of strength.,Maintain high attendance and active participation in class activities and discussions.,Review previous quiz and assignment feedback to identify any areas for further improvement.,Continue periodic review every four to six weeks to ensure consistent academic performance is maintained.,DEMO – Not IBM Granite,True,['Unexpected error calling IBM Granite: [Errno 11001] getaddrinfo failed. DEMO response shown instead.']
STU182,48.4,76.1,59.8,67.2,71.6,Needs Attention,Low marks; Declining academic performance,[DEMO – Not IBM Granite] Student STU182 shows early signs of academic concern: Low marks; Declining academic performance. Targeted support in specific areas could help the student return to a stronger academic trajectory.,Focus revision sessions on topics linked to low quiz scores and aim to consolidate understanding before the next assessment.,Maintain consistent attendance to avoid missing key instructional content that contributes to assessment performance.,Prioritise timely submission of remaining assignments to strengthen the overall academic record.,"Check in with the student every three weeks to review marks, quiz performance, and assignment completion trends.",DEMO – Not IBM Granite,True,['Unexpected error calling IBM Granite: [Errno 11001] getaddrinfo failed. DEMO response shown instead.']
STU213,61.9,62.9,49.6,63.3,78.5,Needs Attention,Low attendance; Low quiz performance; Declining academic performance,[DEMO – Not IBM Granite] Student STU213 shows early signs of academic concern: Low attendance; Low quiz performance; Declining academic performance. Targeted support in specific areas could help the student return to a stronger academic trajectory.,Focus revision sessions on topics linked to low quiz scores and aim to consolidate understanding before the next assessment.,Maintain consistent attendance to avoid missing key instructional content that contributes to assessment performance.,Prioritise timely submission of remaining assignments to strengthen the overall academic record.,"Check in with the student every three weeks to review marks, quiz performance, and assignment completion trends.",DEMO – Not IBM Granite,True,['Unexpected error calling IBM Granite: [Errno 11001] getaddrinfo failed. DEMO response shown instead.']
STU464,87.7,91.3,67.4,96.8,92.3,On Track,,[DEMO – Not IBM Granite] Student STU464 is currently performing well across academic indicators. Continued consistency and engagement will help maintain this positive academic trajectory.,Continue with the current study routine and aim to challenge learning in areas of strength.,Maintain high attendance and active participation in class activities and discussions.,Review previous quiz and assignment feedback to identify any areas for further improvement.,Continue periodic review every four to six weeks to ensure consistent academic performance is maintained.,DEMO – Not IBM Granite,True,['Unexpected error calling IBM Granite: [Errno 11001] getaddrinfo failed. DEMO response shown instead.']
STU245,55.2,72.2,56.9,64.9,53.5,Needs Attention,,[DEMO – Not IBM Granite] Student STU245 shows early signs of academic concern: no significant academic risk indicators. Targeted support in specific areas could help the student return to a stronger academic trajectory.,Focus revision sessions on topics linked to low quiz scores and aim to consolidate understanding before the next assessment.,Maintain consistent attendance to avoid missing key instructional content that contributes to assessment performance.,Prioritise timely submission of remaining assignments to strengthen the overall academic record.,"Check in with the student every three weeks to review marks, quiz performance, and assignment completion trends.",DEMO – Not IBM Granite,True,['Unexpected error calling IBM Granite: [Errno 11001] getaddrinfo failed. DEMO response shown instead.']
STU434,95.3,84.2,66.1,77.5,88.3,On Track,,[DEMO – Not IBM Granite] Student STU434 is currently performing well across academic indicators. Continued consistency and engagement will help maintain this positive academic trajectory.,Continue with the current study routine and aim to challenge learning in areas of strength.,Maintain high attendance and active participation in class activities and discussions.,Review previous quiz and assignment feedback to identify any areas for further improvement.,Continue periodic review every four to six weeks to ensure consistent academic performance is maintained.,DEMO – Not IBM Granite,True,['Unexpected error calling IBM Granite: [Errno 11001] getaddrinfo failed. DEMO response shown instead.']
STU416,83.1,99.3,94.3,93.9,91.9,On Track,Declining academic performance,[DEMO – Not IBM Granite] Student STU416 is currently performing well across academic indicators. Continued consistency and engagement will help maintain this positive academic trajectory.,Continue with the current study routine and aim to challenge learning in areas of strength.,Maintain high attendance and active participation in class activities and discussions.,Review previous quiz and assignment feedback to identify any areas for further improvement.,Continue periodic review every four to six weeks to ensure consistent academic performance is maintained.,DEMO – Not IBM Granite,True,['Unexpected error calling IBM Granite: [Errno 11001] getaddrinfo failed. DEMO response shown instead.']
STU178,54.9,78.9,52.1,72.2,72.4,Needs Attention,Declining academic performance,[DEMO – Not IBM Granite] Student STU178 shows early signs of academic concern: Declining academic performance. Targeted support in specific areas could help the student return to a stronger academic trajectory.,Focus revision sessions on topics linked to low quiz scores and aim to consolidate understanding before the next assessment.,Maintain consistent attendance to avoid missing key instructional content that contributes to assessment performance.,Prioritise timely submission of remaining assignments to strengthen the overall academic record.,"Check in with the student every three weeks to review marks, quiz performance, and assignment completion trends.",DEMO – Not IBM Granite,True,['Unexpected error calling IBM Granite: [Errno 11001] getaddrinfo failed. DEMO response shown instead.']
STU367,63.8,86.1,88.5,85.7,74.5,On Track,Declining academic performance,[DEMO – Not IBM Granite] Student STU367 is currently performing well across academic indicators. Continued consistency and engagement will help maintain this positive academic trajectory.,Continue with the current study routine and aim to challenge learning in areas of strength.,Maintain high attendance and active participation in class activities and discussions.,Review previous quiz and assignment feedback to identify any areas for further improvement.,Continue periodic review every four to six weeks to ensure consistent academic performance is maintained.,DEMO – Not IBM Granite,True,['Unexpected error calling IBM Granite: [Errno 11001] getaddrinfo failed. DEMO response shown instead.']
STU290,57.2,80.9,58.8,54.8,61.3,Needs Attention,Low assignment completion,[DEMO – Not IBM Granite] Student STU290 shows early signs of academic concern: Low assignment completion. Targeted support in specific areas could help the student return to a stronger academic trajectory.,Focus revision sessions on topics linked to low quiz scores and aim to consolidate understanding before the next assessment.,Maintain consistent attendance to avoid missing key instructional content that contributes to assessment performance.,Prioritise timely submission of remaining assignments to strengthen the overall academic record.,"Check in with the student every three weeks to review marks, quiz performance, and assignment completion trends.",DEMO – Not IBM Granite,True,['Unexpected error calling IBM Granite: [Errno 11001] getaddrinfo failed. DEMO response shown instead.']
STU381,61.0,87.4,71.0,71.0,63.7,On Track,,[DEMO – Not IBM Granite] Student STU381 is currently performing well across academic indicators. Continued consistency and engagement will help maintain this positive academic trajectory.,Continue with the current study routine and aim to challenge learning in areas of strength.,Maintain high attendance and active participation in class activities and discussions.,Review previous quiz and assignment feedback to identify any areas for further improvement.,Continue periodic review every four to six weeks to ensure consistent academic performance is maintained.,DEMO – Not IBM Granite,True,['Unexpected error calling IBM Granite: [Errno 11001] getaddrinfo failed. DEMO response shown instead.']
